Date,Open,Low,High,Close,Volume
"May 02, 2017",2391.05,2385.82,2392.93,2391.17,"2,371,689,000"
"May 01, 2017",2388.5,2384.83,2394.49,2388.33,"1,893,003,000"
"Apr 28, 2017",2393.68,2382.36,2393.68,2384.2,"2,239,465,000"
"Apr 27, 2017",2389.7,2382.68,2392.1,2388.77,"2,205,559,000"
"Apr 26, 2017",2388.98,2386.76,2398.16,2387.45,"2,223,616,000"
"Apr 25, 2017",2381.51,2381.15,2392.48,2388.61,"2,304,917,000"
"Apr 24, 2017",2370.33,2369.19,2376.98,2374.15,"2,248,662,000"
"Apr 21, 2017",2354.74,2344.51,2356.18,2348.69,"2,071,759,000"
"Apr 20, 2017",2342.69,2340.91,2361.37,2355.84,"2,089,716,000"
"Apr 19, 2017",2346.79,2335.05,2352.63,2338.17,"1,946,833,000"
"Apr 18, 2017",2342.53,2334.54,2348.35,2342.19,"1,903,471,000"
"Apr 17, 2017",2332.62,2332.51,2349.14,2349.01,"1,626,264,000"
"Apr 13, 2017",2341.98,2328.95,2348.26,2328.95,"1,764,747,000"
"Apr 12, 2017",2352.15,2341.18,2352.72,2344.93,"1,897,910,000"
"Apr 11, 2017",2353.92,2337.25,2355.22,2353.78,"1,817,530,000"
"Apr 10, 2017",2357.16,2351.5,2366.37,2357.16,"1,620,329,000"
"Apr 07, 2017",2356.59,2350.74,2363.76,2355.54,"1,730,732,000"
"Apr 06, 2017",2353.79,2348.9,2364.16,2357.49,"1,936,974,000"
"Apr 05, 2017",2366.59,2350.52,2378.36,2352.95,"2,104,798,000"
"Apr 04, 2017",2354.76,2350.72,2360.53,2360.16,"1,820,405,000"
"Apr 03, 2017",2362.34,2344.73,2365.87,2358.84,"2,182,258,000"
"Mar 31, 2017",2364.82,2362.6,2370.35,2362.72,"1,997,044,000"
"Mar 30, 2017",2361.31,2358.58,2370.42,2368.06,"1,848,896,000"
"Mar 29, 2017",2356.54,2352.94,2363.36,2361.13,"1,734,143,000"
"Mar 28, 2017",2339.79,2337.63,2363.78,2358.57,"1,951,314,000"
"Mar 27, 2017",2329.11,2322.25,2344.9,2341.59,"1,931,760,000"
"Mar 24, 2017",2350.42,2335.74,2356.22,2343.98,"1,920,254,000"
"Mar 23, 2017",2345.97,2342.13,2358.92,2345.96,"1,918,717,000"
"Mar 22, 2017",2343,2336.45,2351.81,2348.45,"2,138,555,000"
"Mar 21, 2017",2379.32,2341.9,2381.93,2344.02,"2,637,088,000"
"Mar 20, 2017",2378.24,2369.66,2379.55,2373.47,"1,822,463,000"
"Mar 17, 2017",2383.71,2377.64,2385.71,2378.25,"3,398,205,000"
"Mar 16, 2017",2387.71,2377.18,2388.1,2381.38,"1,878,039,000"
"Mar 15, 2017",2370.34,2368.94,2390.01,2385.26,"2,124,878,000"
"Mar 14, 2017",2368.55,2358.18,2368.55,2365.45,"1,685,090,000"
"Mar 13, 2017",2371.56,2368.52,2374.42,2373.47,"1,822,264,000"
"Mar 10, 2017",2372.52,2363.04,2376.86,2372.6,"2,017,930,000"
"Mar 09, 2017",2363.49,2354.54,2369.08,2364.87,"2,019,165,000"
"Mar 08, 2017",2369.81,2361.01,2373.09,2362.98,"2,085,506,000"
"Mar 07, 2017",2370.74,2365.51,2375.12,2368.39,"1,912,964,000"
"Mar 06, 2017",2375.23,2367.98,2378.8,2375.31,"1,888,989,000"
"Mar 03, 2017",2380.92,2375.39,2383.89,2383.12,"1,832,913,000"
"Mar 02, 2017",2394.75,2380.17,2394.75,2381.92,"2,120,548,000"
"Mar 01, 2017",2380.13,2380.13,2400.98,2395.96,"2,575,918,000"
"Feb 28, 2017",2366.08,2358.96,2367.79,2363.64,"2,538,169,000"
"Feb 27, 2017",2365.23,2361.87,2371.54,2369.75,"1,881,304,000"
"Feb 24, 2017",2355.73,2352.87,2367.34,2367.34,"2,190,395,000"
"Feb 23, 2017",2367.5,2355.09,2368.26,2363.81,"2,200,797,000"
"Feb 22, 2017",2361.11,2358.34,2365.13,2362.82,"1,953,850,000"
"Feb 21, 2017",2354.91,2354.91,2366.71,2365.38,"2,108,632,000"
"Feb 17, 2017",2343.01,2339.58,2351.16,2351.16,"2,119,431,000"
"Feb 16, 2017",2349.64,2338.87,2351.31,2347.22,"2,086,044,000"
"Feb 15, 2017",2335.58,2334.81,2351.3,2349.25,"2,251,620,000"
"Feb 14, 2017",2326.12,2322.17,2337.58,2337.58,"2,161,361,000"
"Feb 13, 2017",2321.72,2321.42,2331.58,2328.25,"1,958,736,000"
"Feb 10, 2017",2312.27,2311.1,2319.23,2316.1,"2,067,124,000"
"Feb 09, 2017",2296.7,2296.61,2311.08,2307.87,"2,118,564,000"
"Feb 08, 2017",2289.55,2285.38,2295.91,2294.67,"2,113,479,000"
"Feb 07, 2017",2295.87,2290.16,2299.4,2293.08,"2,079,166,000"
"Feb 06, 2017",2294.28,2288.57,2296.18,2292.56,"1,902,540,000"
"Feb 03, 2017",2288.54,2287.88,2298.31,2297.42,"2,208,634,000"
"Feb 02, 2017",2276.69,2271.65,2283.97,2280.85,"2,321,960,000"
"Feb 01, 2017",2285.59,2272.44,2289.14,2279.55,"2,478,979,000"
"Jan 31, 2017",2274.02,2267.21,2279.09,2278.87,"2,555,320,000"
"Jan 30, 2017",2286.01,2268.04,2286.01,2280.9,"2,108,083,000"
"Jan 27, 2017",2299.02,2291.62,2299.02,2294.69,"1,999,261,000"
"Jan 26, 2017",2298.63,2294.08,2300.99,2296.68,"2,333,681,000"
"Jan 25, 2017",2288.88,2288.88,2299.55,2298.37,"2,461,512,000"
"Jan 24, 2017",2267.88,2266.68,2284.63,2280.07,"2,229,227,000"
"Jan 23, 2017",2267.78,2257.02,2271.78,2265.2,"1,990,552,000"
"Jan 20, 2017",2269.96,2265.01,2276.96,2271.31,"2,311,814,000"
"Jan 19, 2017",2271.9,2258.41,2274.33,2263.69,"2,041,282,000"
"Jan 18, 2017",2269.14,2263.35,2272.01,2271.89,"1,998,643,000"
"Jan 17, 2017",2269.14,2262.81,2272.08,2267.89,"2,212,200,000"
"Jan 13, 2017",2272.74,2271.51,2278.68,2274.64,"1,780,997,000"
"Jan 12, 2017",2271.14,2254.25,2271.78,2270.44,"1,937,385,000"
"Jan 11, 2017",2268.6,2260.83,2275.32,2275.32,"2,118,289,000"
"Jan 10, 2017",2269.72,2265.27,2279.27,2268.9,"2,138,024,000"
"Jan 09, 2017",2273.59,2268.9,2275.49,2268.9,"1,914,652,000"
"Jan 06, 2017",2271.14,2264.06,2282.1,2276.98,"1,957,181,000"
"Jan 05, 2017",2268.18,2260.45,2271.5,2269,"2,187,189,000"
"Jan 04, 2017",2261.6,2261.6,2272.82,2270.75,"2,097,360,000"
"Jan 03, 2017",2251.57,2245.13,2263.88,2257.83,"2,318,947,000"
"Dec 30, 2016",2251.61,2233.62,2253.58,2238.83,"1,580,595,000"
"Dec 29, 2016",2249.5,2244.56,2254.51,2249.26,"1,264,830,000"
"Dec 28, 2016",2270.23,2249.11,2271.31,2249.92,"1,343,528,000"
"Dec 27, 2016",2266.23,2266.15,2273.82,2268.88,"1,090,974,000"
"Dec 23, 2016",2260.25,2258.84,2263.79,2263.79,"1,082,067,000"
"Dec 22, 2016",2262.93,2256.08,2263.18,2260.96,"1,713,661,000"
"Dec 21, 2016",2270.54,2265.15,2271.23,2265.18,"1,585,087,000"
"Dec 20, 2016",2266.5,2266.14,2272.56,2270.76,"1,797,798,000"
"Dec 19, 2016",2259.24,2258.21,2267.47,2262.53,"1,855,781,000"
"Dec 16, 2016",2266.81,2254.24,2268.05,2258.07,"3,710,588,000"
"Dec 15, 2016",2253.77,2253.77,2272.12,2262.03,"2,428,153,000"
"Dec 14, 2016",2268.35,2248.44,2276.2,2253.28,"2,660,459,000"
"Dec 13, 2016",2263.32,2263.32,2277.53,2271.72,"2,311,255,000"
"Dec 12, 2016",2258.83,2252.37,2264.03,2256.96,"2,358,393,000"
"Dec 09, 2016",2249.73,2249.23,2259.8,2259.53,"2,200,678,000"
"Dec 08, 2016",2241.13,2237.57,2251.69,2246.19,"2,436,820,000"
"Dec 07, 2016",2210.72,2208.93,2241.63,2241.35,"2,734,847,000"
"Dec 06, 2016",2207.26,2202.21,2212.78,2212.23,"2,170,130,000"
"Dec 05, 2016",2200.65,2199.97,2209.42,2204.71,"2,353,018,000"
